State,Housing price index,Unemployment rate ,Region,Population (thousands) ,,,
Alabama,284.4,3.5,South,4631,,,
Alaska,274.5,6.5,West,700,,,
Arizona,432.7,4.1,Southwest,5230,,,
Arkansas,258,5.3,South,2750,,,
California,646.7,4.9,West,34441,,,
Colorado,369.1,4.3,West,4468,,,
Connecticut,481.9,4.4,New England,3317,,,
Delaware,508.3,3.5,Middle Atlantic,800,,,
Washington DC,660.2,5.9,South,529,,,
Florida,488.9,3.4,South,16279,,,
Georgia,340,4.6,South,8413,,,
Hawaii,537.4,2.5,West,1342,,,
Idaho,348,3.2,West,1480,,,
Illinois,379.8,4.6,Midwest,12266,,,
Indiana,258.6,4.9,Midwest,6215,,,
Iowa,251.3,3.8,Midwest,2941,,,
Kansas,243.3,4.3,Midwest,2761,,,
Kentucky,288,5.8,South,4098,,,
Louisiana,244.4,3.9,South,4535,,,
Maine,522.3,4.6,New England,1285,,,
Maryland,536.7,3.8,Middle Atlantic,5467,,,
Massachusetts,731.9,4.8,New England,6310,,,
Michigan,321.5,6.9,Midwest,9763,,,
Minnesota,373.1,4,Midwest,5005,,,
Mississippi,251.8,6.7,South,2908,,,
Missouri,303.3,4.8,South,5718,,,
Montana,374.1,3.3,West,1006,,,
Nebraska,256.8,3,Midwest,1761,,,
Nevada,414,4.2,West,2070,,,
New Hampshire,509.6,3.5,New England,1281,,,
New Jersey,585.1,4.7,Middle Atlantic,8392,,,
New Mexico,330.7,4.3,Southwest,2016,,,
New York,662,4.6,Middle Atlantic,18250,,,
North Carolina,331.9,4.7,South,8227,,,
North Dakota,244.3,3.2,Midwest,677,,,
Ohio,272.8,5.4,Midwest,11428,,,
Oklahoma,201,4.1,Southwest,3491,,,
Oregon,455.1,5.4,West,3613,,,
Pennsylvania,409,4.6,Middle Atlantic,12281,,,
Rhode Island,613.7,5.1,New England,1012,,,
South Carolina,317.4,6.4,South,4033,,,
South Dakota,285.9,3.1,Midwest,810,,,
Tennessee,301.9,5.1,South,5966,,,
Texas,218.6,4.9,Southwest,21487,,,
Utah,359.8,3,West,2411,,,
Vermont,461.8,3.7,New England,638,,,
Virginia,469.3,3,South,7324,,,
Washington,488.9,4.9,West,6258,,,
West Virginia,234.8,4.7,South,1849,,,
Wisconsin,332.5,4.7,Midwest,5479,,,
Wyoming,268.8,3.3,West,568,,,